1.575306028921837909e+00,1.595827898542860668e+00,1.578211276352353920e+00,1.580660757259238158e+00,1.593827405703140743e+00,1.590281446692143774e+00,1.590730862573332072e+00,1.567253904876324766e+00,1.574068923058981051e+00,1.571711550411917457e+00
1.572140031259387838e+00,1.569016435933350273e+00,1.594060358991859605e+00,1.597577178995302827e+00,1.572318514140640167e+00,1.570269982833765177e+00,1.555413544897159550e+00,1.596191535559012831e+00,1.577108027403246515e+00,1.594202602851420458e+00
1.554968052773155529e+00,1.559017707519551488e+00,1.504552361681946948e+00,1.531203922065428769e+00,1.558818073042398389e+00,1.539211477508171333e+00,1.574383186616327590e+00,1.573151843365493185e+00,1.619758163067176682e+00,1.531822549587746440e+00
1.541269288646895719e+00,1.551865481041451167e+00,1.539141724143800571e+00,1.548501558746622209e+00,1.530655691090482939e+00,1.526921719557915669e+00,1.540737219724992890e+00,1.488894972967790054e+00,1.536218775980632056e+00,1.524891780990904833e+00
1.469911378244568967e+00,1.495449963381261682e+00,1.494398048873206708e+00,1.518504518250963997e+00,1.504999699407038705e+00,1.479105494812025468e+00,1.551036818582496091e+00,1.518800660107688438e+00,1.487078263552863211e+00,1.575369924857504600e+00
1.416483226002988038e+00,1.440150353201024691e+00,1.466965759861058372e+00,1.424614696526869340e+00,1.499188576364564041e+00,1.497036410368318915e+00,1.465704322894175071e+00,1.393929542402383648e+00,1.434039096977094863e+00,1.460688208836008251e+00
1.322114955789561952e+00,1.403399303471990489e+00,1.359883471204937466e+00,1.364021304653339817e+00,1.332761433117230832e+00,1.360348236226154528e+00,1.344611156205142155e+00,1.403762188238721675e+00,1.334643769878425035e+00,1.321026120194156661e+00
1.337695310080675659e+00,1.261874684814721981e+00,1.257855635219280455e+00,1.307152174083820562e+00,1.273556134216029312e+00,1.269052005023208585e+00,1.282675283148456913e+00,1.320755845354703029e+00,1.289921240154866311e+00,1.290457812710413821e+00
1.187748277837908040e+00,1.266845503478444268e+00,1.269755600260556561e+00,1.261510245775729455e+00,1.280757085381168947e+00,1.307981007922729866e+00,1.218106630816188307e+00,1.220470880952380988e+00,1.254708706420547548e+00,1.266775878787878673e+00
1.239600000000000035e+00,1.224800000000000111e+00,1.262399999999999967e+00,1.288383999999999974e+00,1.222799999999999887e+00,1.252143999999999924e+00,1.298800000000000177e+00,1.256760000000000099e+00,1.286000000000000032e+00,1.227028000000000008e+00
